Scaled      Unscaled     Rank    Variable
  100.0    2.70381E+01       1    int_rate
   58.5    1.58046E+01       2    last_pymnt_amnt
   24.3    6.57635E+00       3    installment
   16.0    4.31638E+00       4    inq_last_6mths
   12.7    3.42852E+00       5    mths_since_last_deli
   11.8    3.17719E+00       6    verification_status
   10.0    2.70853E+00       7    funded_amnt_inv
   10.0    2.70087E+00       8    funded_amnt
   10.0    2.70087E+00       9    loan_amnt
    6.4    1.73510E+00      10    mths_since_recent_in
    5.6    1.51405E+00      11    open_acc
    5.5    1.47818E+00      12    fico_range_high
    5.5    1.47818E+00      13    fico_range_low
    5.2    1.40236E+00      14    term
    5.1    1.36708E+00      15    percent_bc_gt_75
    5.0    1.36244E+00      16    delinq_2yrs
    4.4    1.18263E+00      17    num_il_tl
    3.8    1.02554E+00      18    pub_rec_bankruptcies
